"","Train Operating Company (TOC)","Delay Type","Category of Delay","2011-12","2012-13","2013-14","2014-15","2015-16","2016-17","2017-18"
"1","Arriva Trains Wales","All Delay Minutes","All Delay Minutes",579583.999999,604990.999997,615478.999988,613078.999987,648033.999991,656900.999831,633141.999759
"2","Arriva Trains Wales","NR-on-TOC","NR-on-TOC",287167.522999,322517.165999,333287.394993,290617.802989,345352.664094,335079.853572,329166.617298
"3","Arriva Trains Wales","NR-on-TOC","External",77861,62105.5,61831.5,54476,56186.78,61095.472482,71567.428966
"4","Arriva Trains Wales","NR-on-TOC","Network Management / Other",66823.423,70750.153999,88501.328995,87516.79099,95055.992095,126123.681637,108732.827896
"5","Arriva Trains Wales","NR-on-TOC","Non-Track Assets",101495.599999,90468.512,94390.065998,104772.511999,110136.613999,89895.983477,85701.620454
"6","Arriva Trains Wales","NR-on-TOC","Severe Weather, Autumn,  & Structures",22215.5,78014,64475.5,26538.5,51458.278,41216.125983,45854.013988
"7","Arriva Trains Wales","NR-on-TOC","Track",18772,21179,24089,17314,32515,16748.589993,17310.725994
"8","Arriva Trains Wales","TOC-on-Self","TOC-on-Self",241468.5,219275.949999,212022.699997,242608.399999,235787.439899,266618.54779,240265.946989
"9","Arriva Trains Wales","TOC-on-Self","Fleet",134704.5,114655.76,106857,123263.78,108452.5,119325.874597,129251.965998
"10","Arriva Trains Wales","TOC-on-Self","Operations",10942.75,15193.09,10216.499998,10745.119999,7928,19374.431995,15577.602996
"11","Arriva Trains Wales","TOC-on-Self","Stations",44740.25,37649.599999,41449,49806.5,47274.5016,54559.777199,41459.199997
"12","Arriva Trains Wales","TOC-on-Self","TOC Other",17745.5,19773.5,20170,21756,21171,21787.796,24533.481999
"13","Arriva Trains Wales","TOC-on-Self","Traincrew",33335.5,32004,33330.199999,37037,50961.438299,51570.667999,29443.695999
"14","Arriva Trains Wales","TOC-on-TOC","TOC-on-TOC",50947.977,63197.883999,70168.904998,79852.796999,66893.895998,55202.598469,63709.435472
"15","Arriva Trains Wales","TOC-on-TOC","Fleet",24576.477,28812.774,31669.3,36971.419,30518.289999,26332.636493,27883.09899
"16","Arriva Trains Wales","TOC-on-TOC","Operations",6350,7080.109999,7443.604998,8607.445999,5503.104,4697.325993,5914.989994
"17","Arriva Trains Wales","TOC-on-TOC","Stations",2497.5,2679.5,2871,3999.5,8152.848,4440.144998,5260.620998
"18","Arriva Trains Wales","TOC-on-TOC","TOC Other",11437.5,15221.5,16941,18660.5,10893.333999,11263.108992,14761.432495
"19","Arriva Trains Wales","TOC-on-TOC","Traincrew",6086.5,9404,11244,11613.932,11826.32,8469.381993,9889.292995
"20","c2c","All Delay Minutes","All Delay Minutes",55148.999997,44131,52067.999999,50780,53367.999998,89039.999975,63088.999989
"21","c2c","NR-on-TOC","NR-on-TOC",38412.649999,23564,35959.5,32786.3,28504.449999,56030.491981,31526.687991
"22","c2c","NR-on-TOC","External",10939.92,6436,7949,5547,9517.25,13109.361998,8028.581998
"23","c2c","NR-on-TOC","Network Management / Other",11556.229999,6146.5,7234.1,5407.4,7507.699999,12814.034987,8180.799996
"24","c2c","NR-on-TOC","Non-Track Assets",11139,8606,11878,11638,5964,8926.353997,7955.393999
"25","c2c","NR-on-TOC","Severe Weather, Autumn,  & Structures",2314.5,1371.5,7010.4,2736.9,3162.5,15322.740999,3916.095998
"26","c2c","NR-on-TOC","Track",2463,1004,1888,7457,2353,5858,3445.816
"27","c2c","TOC-on-Self","TOC-on-Self",15049.349998,17770,14064.899999,16280.6,22892.549999,31196.872994,28898.811998
"28","c2c","TOC-on-Self","Fleet",5210.269999,8123,5467.399999,5898,6355.799999,11330.437996,10220.623999
"29","c2c","TOC-on-Self","Operations",185.5,183,180,489.5,871.5,978.605999,1555.408
"30","c2c","TOC-on-Self","Stations",1177,1122,929.5,1481,2524.5,4060.716999,3119.686
"31","c2c","TOC-on-Self","TOC Other",6044.079999,6592,5211.5,6177.1,8781.75,8516.516,6751.836
"32","c2c","TOC-on-Self","Traincrew",2432.5,1750,2276.5,2235,4359,6310.596,7251.257999
"33","c2c","TOC-on-TOC","TOC-on-TOC",1687,2797,2043.6,1713.1,1971,1812.635,2663.5
"34","c2c","TOC-on-TOC","Fleet",545,1183,441,683,560,737.41,1178
"35","c2c","TOC-on-TOC","Operations",256,449.5,619.5,233,289.5,251.5,355
"36","c2c","TOC-on-TOC","Stations",20,89,34,117,128,97.5,132
"37","c2c","TOC-on-TOC","TOC Other",554,749.5,690.1,454.1,537,465.225,543
"38","c2c","TOC-on-TOC","Traincrew",312,326,259,226,456.5,261,455.5
"39","Caledonian Sleeper","All Delay Minutes","All Delay Minutes",NA,NA,NA,NA,41120.99999,33660.99999,42583.999932
"40","Caledonian Sleeper","NR-on-TOC","NR-on-TOC",NA,NA,NA,NA,15006.226992,12710.43749,20243.534946
"41","Caledonian Sleeper","NR-on-TOC","External",NA,NA,NA,NA,1596,718.040499,4327.5
"42","Caledonian Sleeper","NR-on-TOC","Network Management / Other",NA,NA,NA,NA,4787.219996,4632.414992,4984.052952
"43","Caledonian Sleeper","NR-on-TOC","Non-Track Assets",NA,NA,NA,NA,3122.970997,4205.761999,6784.561997
"44","Caledonian Sleeper","NR-on-TOC","Severe Weather, Autumn,  & Structures",NA,NA,NA,NA,4321.035999,1521.22,3321.962997
"45","Caledonian Sleeper","NR-on-TOC","Track",NA,NA,NA,NA,1179,1633,825.457
"46","Caledonian Sleeper","TOC-on-Self","TOC-on-Self",NA,NA,NA,NA,22439.772998,17252.284,18396.191991
"47","Caledonian Sleeper","TOC-on-Self","Fleet",NA,NA,NA,NA,10760.839999,9767,10547.94
"48","Caledonian Sleeper","TOC-on-Self","Operations",NA,NA,NA,NA,6524.599999,3639.78,3827.103995
"49","Caledonian Sleeper","TOC-on-Self","Stations",NA,NA,NA,NA,1182,1533.5,1439.339999
"50","Caledonian Sleeper","TOC-on-Self","TOC Other",NA,NA,NA,NA,467.5,567,1087.199999
"51","Caledonian Sleeper","TOC-on-Self","Traincrew",NA,NA,NA,NA,3504.833,1745.004,1494.607998
"52","Caledonian Sleeper","TOC-on-TOC","TOC-on-TOC",NA,NA,NA,NA,3675,3698.2785,3944.272995
"53","Caledonian Sleeper","TOC-on-TOC","Fleet",NA,NA,NA,NA,2339.5,2266.8195,2053.421
"54","Caledonian Sleeper","TOC-on-TOC","Operations",NA,NA,NA,NA,325.5,275.337,194.755998
"55","Caledonian Sleeper","TOC-on-TOC","Stations",NA,NA,NA,NA,61,61.67,84
"56","Caledonian Sleeper","TOC-on-TOC","TOC Other",NA,NA,NA,NA,408,513.5,987.618998
"57","Caledonian Sleeper","TOC-on-TOC","Traincrew",NA,NA,NA,NA,541,580.952,624.476999
"58","Chiltern Railways","All Delay Minutes","All Delay Minutes",246871,194644.999997,176381.999997,165394.999993,218513.99999,265740.999957,270573.999903
"59","Chiltern Railways","NR-on-TOC","NR-on-TOC",113949.5,97102.989999,86497.259998,80965.229994,102624.577997,142602.733973,126535.285928
"60","Chiltern Railways","NR-on-TOC","External",22099.5,17853,14751.5,18988.5,16367,24982.752,22385.624491
"61","Chiltern Railways","NR-on-TOC","Network Management / Other",45640.5,25916.489999,26144.759998,22459.309994,37074.077999,48725.255978,47235.580953
"62","Chiltern Railways","NR-on-TOC","Non-Track Assets",31417,31283.5,21198.5,23901.42,34370,28355.731998,34186.69149
"63","Chiltern Railways","NR-on-TOC","Severe Weather, Autumn,  & Structures",5177.5,13717,18810.5,9027,9166.499998,17339.948998,8785.002994
"64","Chiltern Railways","NR-on-TOC","Track",9615,8333,5592,6589,5647,23199.044999,13942.386
"65","Chiltern Railways","TOC-on-Self","TOC-on-Self",102384.5,77136.509998,66901.239999,62635.949999,88170.269994,94393.510995,106747.908985
"66","Chiltern Railways","TOC-on-Self","Fleet",39380,39374.759998,35942.34,34540.72,50876.759999,47850.783999,58490.835994
"67","Chiltern Railways","TOC-on-Self","Operations",34584.5,14618.5,9652.399999,7509.61,8555.7,10804.974999,9751.795994
"68","Chiltern Railways","TOC-on-Self","Stations",6693,4824,3167.5,4449.5,5514.649999,7532.735999,8612.981997
"69","Chiltern Railways","TOC-on-Self","TOC Other",6456,6545.75,6379,6397.519999,6560.999997,9153.95,14490.138
"70","Chiltern Railways","TOC-on-Self","Traincrew",15271,11773.5,11760,9738.6,16662.159999,19051.065998,15402.157
"71","Chiltern Railways","TOC-on-TOC","TOC-on-TOC",30537,20405.5,22983.5,21793.82,27719.151999,28744.754989,37290.80499
"72","Chiltern Railways","TOC-on-TOC","Fleet",15429,8573,11835,9416.527,13130.151999,13709.057495,20157.238995
"73","Chiltern Railways","TOC-on-TOC","Operations",3426.5,2060,1840.5,2492.293,1867,2167.887999,3010.875998
"74","Chiltern Railways","TOC-on-TOC","Stations",1347,856,955,1656,1651.5,1696.511999,2099.28
"75","Chiltern Railways","TOC-on-TOC","TOC Other",6249.5,4330.5,3897,4224,5375,5863.856999,6032.647998
"76","Chiltern Railways","TOC-on-TOC","Traincrew",4085,4586,4456,4005,5695.5,5307.440497,5990.761999
"77","CrossCountry","All Delay Minutes","All Delay Minutes",719518.729997,811895.999991,822183.999978,684385.499957,691571.999879,687876.999548,721232.999494
"78","CrossCountry","NR-on-TOC","NR-on-TOC",464231.991998,532533.177993,535334.417985,415086.07997,436715.955407,434589.032124,442322.727624
"79","CrossCountry","NR-on-TOC","External",106183.093999,104386.606,99557.726,81628.410999,85147.363994,94771.310961,94759.312442
"80","CrossCountry","NR-on-TOC","Network Management / Other",120508.517999,130869.871993,136894.891985,126447.341973,109817.44744,114286.126799,124707.475305
"81","CrossCountry","NR-on-TOC","Non-Track Assets",155787.5,149455,140730,131072.448999,135368.797982,127082.100411,124948.65643
