"","Train Operating Company (TOC)","Delay Type","Category of Delay","2011-12","2012-13","2013-14","2014-15","2015-16","2016-17","2017-18","2018-19"
"1","Arriva Trains Wales","All Delay Minutes","All Delay Minutes",305225.999999,314364.999999,274904.999994,339272.999992,332631.999994,332100.999987,320783.999932,376279.999901
"2","Arriva Trains Wales","NR-on-TOC","NR-on-TOC",145408.272999,165868.13,134661.594996,166710.665993,175680.265995,156750.32819,167014.504441,174663.718921
"3","Arriva Trains Wales","NR-on-TOC","External",42652,33664,32620.5,31487.5,35629.724,35160.870998,43848.055985,43265.431487
"4","Arriva Trains Wales","NR-on-TOC","Network Management / Other",35335.673,34722.818,43186.528998,49389.933993,51524.173996,55228.766695,59204.815969,58542.866456
"5","Arriva Trains Wales","NR-on-TOC","Non-Track Assets",51469.599999,50782.812,42383.065998,65508.232,64791.589999,46207.051498,44899.512488,48609.30649
"6","Arriva Trains Wales","NR-on-TOC","Severe Weather, Autumn,  & Structures",4571,36244.5,5957.5,10313,8198.778,12740.624,11023.94,12929.894492
"7","Arriva Trains Wales","NR-on-TOC","Track",11380,10454,10514,10012,15536,7413.014999,8038.179999,11316.219996
"8","Arriva Trains Wales","TOC-on-Self","TOC-on-Self",135316.75,120711.26,105934,133810.149999,116466,147933.470798,124013.923998,161283.599999
"9","Arriva Trains Wales","TOC-on-Self","Fleet",76413,62918.26,53694.5,69359.78,51735.5,63487.384599,64501.46,88233
"10","Arriva Trains Wales","TOC-on-Self","Operations",5863.5,10843,6356.5,6118.369999,4034,4573.245,5788.583999,6771.5
"11","Arriva Trains Wales","TOC-on-Self","Stations",25293.25,21487,22432,28007,27212.5,35609.341199,24523.939999,29942
"12","Arriva Trains Wales","TOC-on-Self","TOC Other",9550.5,8774,7506,10060.5,9626,13193.5,13448.94,16484.5
"13","Arriva Trains Wales","TOC-on-Self","Traincrew",18196.5,16689,15945,20264.5,23858,31070,15751,19852.599999
"14","Arriva Trains Wales","TOC-on-TOC","TOC-on-TOC",24500.977,27785.609999,34309.404998,38752.184,40485.733999,27417.200999,29755.571493,40332.680981
"15","Arriva Trains Wales","TOC-on-TOC","Fleet",11888.477,13350.5,16859.3,18835.5,19533.289999,13542.366,12586.698999,20214.598993
"16","Arriva Trains Wales","TOC-on-TOC","Operations",3151,3238.109999,3504.604998,4151.684,2646.604,2517.195,2885.971497,4002.569996
"17","Arriva Trains Wales","TOC-on-TOC","Stations",973,1256.5,1492,1835,6091.348,2047.5,2583.412999,3064.391
"18","Arriva Trains Wales","TOC-on-TOC","TOC Other",5405,5966,6920.5,8421.5,5644.5,5567.069999,6776.286999,5684.153998
"19","Arriva Trains Wales","TOC-on-TOC","Traincrew",3083.5,3974.5,5533,5508.5,6569.992,3743.07,4923.200999,7366.966994
"20","c2c","All Delay Minutes","All Delay Minutes",29891.999997,22064,23100.999999,31328,22539.999998,45055.999997,34038,45651.999995
"21","c2c","NR-on-TOC","NR-on-TOC",20114.149999,13952.5,13922.1,23007.4,11657.699999,26780.297998,17706.5,27672.023997
"22","c2c","NR-on-TOC","External",6348.92,4041,4839,4170,4087,5625.228,5307.5,6754
"23","c2c","NR-on-TOC","Network Management / Other",5695.229999,3909,3326.1,2370.4,2858.699999,8361.169998,4016,6184.228998
"24","c2c","NR-on-TOC","Non-Track Assets",5629,5215,3839,8814,2735,3976.414,4958,5693.889999
"25","c2c","NR-on-TOC","Severe Weather, Autumn,  & Structures",1138,201.5,935,1277,873,4679.486,493,3971.905
"26","c2c","NR-on-TOC","Track",1303,586,983,6376,1104,4138,2932,5068
"27","c2c","TOC-on-Self","TOC-on-Self",8858.849998,6678.5,8017.899999,7423.1,9948.299999,17198.791999,14725.5,17158.142998
"28","c2c","TOC-on-Self","Fleet",3392.769999,2071,3464.399999,2368.5,3584.799999,7804.457999,3856.5,7478.862999
"29","c2c","TOC-on-Self","Operations",98,119,89,358,186.5,346,921,196.5
"30","c2c","TOC-on-Self","Stations",644,587,462.5,650,690.5,1433.334,1628,1402.779999
