"","Train Operating Company (TOC)","Category of Delay","SUM(`2011-12`)","SUM(`2017-18`)","change1118","pcchange1118"
"1","Southeastern","Track",22011,70892.641996,48881.641996,2.22078242678661
"2","Heathrow Express","Track",1099,2238.757,1139.757,1.03708553230209
"3","Govia Thameslink Railway","Track",70591,131636.885988,61045.885988,0.864782847501806
"4","South Western Railway","Track",75016,132381.160999,57365.160999,0.764705676109097
"5","Great Western Railway","Track",39543,69518.446995,29975.446995,0.758046860253395
"6","London Overground","Track",15151,24033.06,8882.06,0.586235892020329
"7","TransPennine Express","Track",24599.049999,38208.245489,13609.19549,0.553240693870424
"8","Chiltern Railways","Track",9615,13942.386,4327.38599999999,0.450066146645865
"9","East Midlands Trains","Track",27700.5,39742.124999,12041.624999,0.434707857222794
"10","c2c","Track",2463,3445.816,982.816,0.399032074705643
"11","Grand Central","Track",4238,5633.125999,1395.125999,0.329194431099575
"12","Greater Anglia","Track",68914,85409.202994,16495.202994,0.239359244768842
"13","CrossCountry","Track",51191.23,61945.813984,10754.583984,0.210086453949241
"14","Virgin Trains East Coast","Track",34548.41,39206.33199,4657.92198999999,0.134823049454374
"15","ScotRail","Track",40178.31,45341.674993,5163.364993,0.128511253783447
"16","Northern","Track",90690,102235.375488,11545.375488,0.127305937677804
"17","Hull Trains","Track",3131,3228,97,0.0309805174065794
"18","West Midlands Trains","Track",46526,47920.650994,1394.650994,0.0299757338692345
"19","Arriva Trains Wales","Track",18772,17310.725994,-1461.274006,-0.0778432775410185
"20","Virgin Trains West Coast","Track",74071.38,59412.445999,-14658.934001,-0.197902806738581
"21","TfL Rail","Track",5855,4039,-1816,-0.310162254483348
"22","Merseyrail","Track",2194,1168,-1026,-0.467639015496809
"23","Caledonian Sleeper","Track",NA,825.457,NA,NA
