"","Train Operating Company (TOC)","Category of Delay","SUM(`2011-12`)","SUM(`2017-18`)","change1118","pcchange1118"
"1","Merseyrail","Traincrew",3487.1,13046.601997,9559.501997,2.74139026612371
"2","Heathrow Express","Traincrew",1018.5,3261.499998,2242.999998,2.20225822091311
"3","Govia Thameslink Railway","Traincrew",109659.8,330957.589986,221297.789986,2.01803933607393
"4","c2c","Traincrew",2744.5,7706.757999,4962.257999,1.80807360138459
"5","TransPennine Express","Traincrew",14666.28,33348.44199,18682.16199,1.27381735450298
"6","South Western Railway","Traincrew",46323.889999,100853.017995,54529.127996,1.17712756845716
"7","Great Western Railway","Traincrew",57967.729999,122301.888993,64334.158994,1.10982712269585
"8","Virgin Trains West Coast","Traincrew",19357,34628.825981,15271.825981,0.78895624223795
"9","West Midlands Trains","Traincrew",52818,92631.950989,39813.950989,0.753795126453103
"10","Northern","Traincrew",81807.629999,126366.822977,44559.192978,0.544682604526555
"11","East Midlands Trains","Traincrew",17892,27242.435987,9350.435987,0.522604291694612
"12","Virgin Trains East Coast","Traincrew",10147,13583.077988,3436.077988,0.338629938701094
"13","ScotRail","Traincrew",49306,64029.822483,14723.822483,0.298621313491259
"14","Greater Anglia","Traincrew",31795.589998,40959.73699,9164.146992,0.288220693265212
"15","Grand Central","Traincrew",1744.5,2227.100999,482.600999,0.276641443966753
"16","CrossCountry","Traincrew",35061.5,44013.936976,8952.436976,0.255335253083867
"17","Hull Trains","Traincrew",803,934.13,131.13,0.163300124533001
"18","Southeastern","Traincrew",51296.499998,57910.808995,6614.30899700001,0.128942695841976
"19","London Overground","Traincrew",16507.46,18368.013991,1860.553991,0.112709889407577
"20","Chiltern Railways","Traincrew",19356,21392.918999,2036.918999,0.105234500878281
"21","TfL Rail","Traincrew",4245.55,4282.929999,37.3799990000007,0.00880451272508878
"22","Arriva Trains Wales","Traincrew",39422,39332.988994,-89.0110060000006,-0.00225790183146468
"23","Caledonian Sleeper","Traincrew",NA,2119.084997,NA,NA
