"","tweettextvec","Freq"
"1","",1834
"2","-",4286
"3","--&amp;gt;",1
"4","-\n\n\ud83c\udfab",1
"5","-\n\n\ud83c\udfabticket",2
"6","-\n\n\ud83c\udfabtickets",1
"7","-\n\ud83c\udfabticket",1
"8","-\u2026",104
"9","-&amp;gt;",1
"10","-&amp;gt;\u2026",1
"11","-17:23",2
"12","-17:25",1
"13","-17:30",1
"14","-17:31",1
"15","-17:38",1
"16","-18:16",1
"17","-18:49",1
"18","-19:49",1
"19","-20:02",1
"20","-all",1
"21","-alternative",1
"22","-andy",453
"23","-check",1
"24","-cheques",1
"25","-connie",40
"26","-delays",1
"27","-disruption",5
"28","-greater",3
"29","-https://t.co/4yqdhmi33v",1
"30","-https://t.co/ag9cqrvbxi",1
"31","-https://t.co/dtpk7ktbuu",1
"32","-https://t.co/nwtsioe1ep.",1
"33","-https://t.co/v1ap5jzoyh",1
"34","-i",1
"35","-i'll",1
"36","-jordan",583
"37","-services",1
"38","-some",1
"39","-the",3
"40","-thu",1
"41","-trains",1
"42",",",18
"43",",me",1
"44",",messages",1
"45",",where",1
"46",";",1
"47",";)",22
"48",";o)",1
"49",":",27
"50",":-(",1
"51",":-)",20
"52",":(",43
"53",":)",849
"54",":).",4
"55",":)\u2026",3
"56",":)^ec",20
"57",":)^kim",1
"58",":@jerryharringt13",1
"59",":\u2026",4
"60",":d",12
"61",":https://t.co/4lfjt8ofwv",1
"62",":o)",10
"63",":yes",1
"64","!",3
"65","!^np",1
"66","?",25
"67","?\ntravelling",1
"68",".",34
"69","..",1
"70","...",13
"71",".....",5
"72","...as",1
"73","...in",1
"74","...reviewing",1
"75","...single",1
"76","..2/2",10
"77",".@bnpparibasuk",1
"78",".@merseyrail",2
"79",".^db",1
"80",".i",1
"81",".on",1
"82",".pdf",2
"83",".thanks.",1
"84","'*reservations",1
"85","'\u2026",1
"86","'^kim",1
"87","'00000'",2
"88","'16-18'",1
"89","'a",1
"90","'a\u2026",1
"91","'abandon'",1
"92","'advance",1
"93","'advance'",1
"94","'advance'?",1
"95","'advanced",1
"96","'advanced'",1
"97","'advised",1
"98","'all",1
"99","'alters?'",1
"100","'anglia'",1
"101","'any",4
"102","'big",1
"103","'bread",1
"104","'christmas",1
"105","'contactless'",1
"106","'cover",1
"107","'didn't",1
"108","'divisions'",1
"109","'drop",1
"110","'due",1
"111","'error'",1
"112","'every",1
"113","'expl\u2026",1
"114","'fares'",1
"115","'fast'",1
"116","'feedback'.",1
"117","'fixed'",1
"118","'forgetting'",3
"119","'forgotten",2
"120","'fraid",1
"121","'from'",1
"122","'get",2
"123","'gmx'.",1
"124","'grinch'",1
"125","'hi'",1
"126","'https://t.co/osy4ycm5ov'",1
"127","'issued'?",1
"128","'it",1
"129","'it's",1
"130","'johannes'",1
"131","'keep",1
"132","'key",1
"133","'knock",1
"134","'lmy'",1
"135","'london",1
"136","'m",2
"137","'m-tickets',",1
"138","'manchester",1
"139","'me",1
"140","'more",1
"141","'named",1
"142","'ninety",1
"143","'no",1
"144","'noticing'",1
"145","'off",1
"146","'off-peak",1
"147","'off-peak'",1
"148","'operational",2
"149","'ot\u2026",1
"150","'other'",8
"151","'oyster",1
"152","'peak",1
"153","'powerhouse',",1
"154","'preparing",1
"155","'raider'",1
"156","'re-submitted",2
"157","'reason",2
"158","'reason\u2026",1
"159","'recent",1
"160","'reserved'",1
"161","'resubmission'",1
"162","'resubmission'.",2
"163","'resubmitted\u2026",1
"164","'return'?",1
"165","'ruff'",1
"166","'s",1
"167","'send",1
"168","'small",1
"169","'smartcard",1
"170","'special",1
"171","'station",1
"172","'stopper'",1
"173","'stopping'",1
"174","'there's",1
"175","'this",2
"176","'ticket",2
"177","'tis",2
"178","'train",1
"179","'travel",1
"180","'travel\u2026",1
"181","'unconfirmed",1
"182","'via",1
"183","'view",1
"184","'vir\u2026",1
"185","'virgintrains\u2026",1
"186","'virgintrainswifi?'",1
"187","'virgintrainswifi'",1
"188","'virtual",1
"189","'w\u2026",1
"190","'weymouth,",1
"191","'what",1
"192","'what\u2026",1
"193","'zone",1
"194","'zones",1
"195","(",2
"196","(?)",1
"197","('virgintrainswifi')",1
"198","(@btp",1
"199","(@gsc1)",1
"200","(\u00a3\u2026",1
"201","(\u00a3150",1
"202","(\u2026",6
"203","(00:08);",1
"204","(05:54",3
"205","(05:54manningtree)",2
"206","(05:56",2
"207","(06:00-22:00",1
"208","(06:04",1
"209","(06:05",1
"210","(06:12",3
"211","(06:18",2
"212","(06:24",3
"213","(06:36ingatestone)",1
"214","(06:40",2
"215","(06:42",3
"216","(06:47",4
"217","(06:48",1
"218","(06:49",5
